CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
FINDCAT,IWDAQ V1.0 FIND_CAT,IWDAQ V1.0,,,1,,,Impact of Weight on Daily Activities Questionnaire (IWDAQ). RTI Health Solutions V1.0
FINDCAT,IWQOL LITE CT V1 23 ITEMS FIND_CAT,IWQOL-Lite CT V1 23 items,,,1,,,"IWQOL Lite CT V1 23 items
Impact of Weight Quality of Life -Lite - Clinical Trials version 1, 23 items"
FINDCAT,IWQOL LITE CT V2 22 ITEMS FIND_CAT,IWQOL-Lite CT V2 22 items,,,1,,,"IWQOL Lite CT V2 22 items
Impact of Weight Quality of Life - Lite - Clinical Trials version 2, 22 items"
FINDCAT,IWQOL LITE CT V3 20 ITEMS FIND_CAT,IWQOL-Lite CT V3 20 items,,,1,,,"IWQOL Lite CT V3 20 items
Impact of Weight Quality of Life - Lite - Clinical Trials version 1, 20 items"
FINDCAT,IWQOL-KIDS FIND_CAT,IWQOL-Kids,,,1,,,Impact of Weight on Quality of Life Kids Questionnaire
FINDCAT,JOINT PAIN RATING SCALE V1.0 FIND_CAT,Joint Pain Rating Scale V1.0,,,1,,,Joint Pain Rating Scale V1.0
FINDCAT,KARYOTYPE DETERMINATION FIND_CAT,Karyotype Determination,,,1,,,Karyotype Determination
FINDCAT,KCCQ FIND_CAT,KC Cardiomyopathy Questionnaire,,,1,,,KC Cardiomyopathy Questionnaire
FINDCAT,KCCQ SCORES FIND_CAT,KC Cardiomyopathy Questionnaire Scores,,,1,,,KC Cardiomyopathy Questionnaire Scores
FINDCAT,KNEE RADIOGRAPHIC EXAMINATION FIND_CAT,Knee Radiographic Examination,,,1,,,Knee Radiographic Examination
FINDCAT,LIFE'S SIMPLE 7 FIND_CAT,Life's Simple 7,,,1,,,"American Heart Association's Life's Simple 7 Health Factors. Lloyd-Jones DM, Hong Y, Labarthe D et al. American Heart Association Strategic Planning Task Force and Statistics Committee. Defining and setting national goals for cardiovascular health promotion and disease reduction: the American Heart Association's strategic Impact Goal through 2020 and beyond. Circulation. 2010 Feb 2;121(4):586-613."
FINDCAT,LIFESTYLE ASSESSMENT FIND_CAT,Lifestyle Assessment,,,1,,,Category for Lifestyle Assessments
FINDCAT,LIPID LOWERING THERAPY FIND_CAT,Lipid Lowering Therapy,,,1,,,Lipid Lowering Therapy
FINDCAT,LIPIDS FIND_CAT,Lipids,,,1209,,,"Finding category, Lipids"
FINDCAT,LOCAL TOLERABILITY FIND_CAT,Local Tolerability,,,1215,,,"Local Tolerability"
FINDCAT,MADRS FIND_CAT,Montgomery-Asberg Depression Ratin Scale,,,1,,,"Category for the Montgomery-Asberg Depression Rating Scale (MADRS) (Copyright Stuart Montgomery 1978, Measures of Depression, Fulcrum Press, London. Stuart A. Montgomery and Marie Asberg. A new depression scale designed to be sensitive to change. Br. J. Psychiat. (1979), 134:382-389)."
FINDCAT,MAGNETIC RESONANCE IMAGING FIND_CAT,Magnetic Resonance Imaging,,,1,,,"Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide amazingly clear and detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders."
FINDCAT,MATERNAL FACTORS FIND_CAT,Maternal Factors,,,1,,,Maternal factors
FINDCAT,MAX STATIN DOSE FIND_CAT,Max Statin Dose,,,1,,,Max Statin Dose
FINDCAT,MDS-UPDRS FIND_CAT,MDS-UPDRS,,,1,,,The Movement Disorder Society (MDS)-sponsored Revision of the Unified Parkinson's Disease Rating Scale (UPDRS)
FINDCAT,MEAL TEST FIND_CAT,Meal Test,,,1305,,,Meal Test
FINDCAT,MEDICAL CONTACTS FIND_CAT,Medical Contacts,,,1,,,Medical Contacts
FINDCAT,MEDICATION RECEIVED FIND_CAT,Medication Received,,,1,,,NN internal questionnaire about which medication subject think they received.
FINDCAT,MELD FIND_CAT,Model for End Stage Liver Disease,,,1,,,"Model for End Stage Liver Disease (MELD) (Malinchoc M, Kamath PS, Gordon FD, Peine CJ, Rank J, ter Borg PC (April 2000). A model to predict poor survival in patients undergoing transjugular intrahepatic portosystemic shunts. Hepatology 31 (4): 864-71)."
FINDCAT,MENSTRUAL PERIOD FIND_CAT,Menstrual Period,,,1,,,"The length of time of the menses cycle, measured from the beginning of one menstrual period to the beginning of the next."
FINDCAT,MENTAL HEALTH EVALUATION FIND_CAT,Mental Health Evaluation,,,1,,,Mental Health Evaluation
FINDCAT,METABOLIC RATE FIND_CAT,Metabolic rate,,,1305,,,"Metabolic rate"
FINDCAT,MMSE FIND_CAT,Mini-Mental State Examination,,,1,,,"Mini-Mental State Examination (MMSE) (MMSE Copyright 1975, 1998, 2001 by MiniMental, LLC All rights reserved. Published 2001 by Psychological Assessment Resources, Inc. May not be reproduced in whole or in part in any form or by any means without written permission of Psychological Assessment Resources, Inc.)."
FINDCAT,MNSI FIND_CAT,MNSI,,,1,,,"Michigan Neuropathy Screening Instrument (MNSI) (copyright University of Michigan, 2000, All rights reserved). Patient Version"
FINDCAT,MOCA VERSION 7.1 FIND_CAT,MOCA VERSION 7.1,,,1,,,"Montreal Cognitive Assessment Version 7.1 (MOCA VERSION 7.1) (Copyright Z. Nasreddine MD. Ziad S. Nasreddine, Natalie A. Phillips, Valerie Bedirian, Simon Charbonneau, Victor Whitehead, Isabelle Collin, Jeffrey L. Cummings and Howard Chertkow. The Montreal Cognitive Assessment, MoCA: A Brief Screening Tool For Mild Cognitive Impairment. J Am Geriatr Soc. 2005 Apr;53(4):695-9)."
FINDCAT,MODIFIED TSQM-9 PARENT REPORT FIND_CAT,Modified TSQM-9 Parent Report,,,1,,,Modified Abbreviated Treatment Satisfaction Questionnaire for Medication Parent Reported (Modified TSQM-9)
FINDCAT,MOLECULAR GENETIC PANEL TESTING FIND_CAT,Molecular Genetic Panel Testing,,,1,,,Molecular Genetic Panel Testing
FINDCAT,MONTHLY DIARY FIND_CAT,Monthly Diary,,,1,,,Monthly diary
FINDCAT,MONTREAL COGNITIVE ASSESSMENT V 7.1 FIND_CAT,Montreal Cognitive Assessment vers 7.1,,,1,,,"Montreal Cognitive Assessment (MoCA) version 7.1
The MoCA is a cognitive screening test designed to assist Health Professionals in the detection of mild cognitive impairment and Alzheimer's disease. The test is 12 questions."
FINDCAT,MRS FIND_CAT,Modified Rankin Scale,,,1,,,"The Wilson mRS structured interview (mRS-SI) is copyright protected - ? 2002 Lindsay Wilson, University of Stirling, Stirling, FK9 4LA, UK and Asha Hareendran, OutcomesResearch, Pfizer Ltd. Sandwich, CT13 9NJ, UK. Copies of the mRS-SI and accompanying notes can be obtained from the author.  Additional information about the mRS-SI can be found at http://www.psychology.stir.ac.uk/staff/lwilson/documents/."
FINDCAT,MYOCARDIAL PERFUSION RESERVE FIND_CAT,Myocardial Perfusion Reserve,,,1,,,Myocardial Perfusion Reserve.
FINDCAT,NASH-CHECK V1.0 FIND_CAT,NASH-CHECK V1.0,,,1,,,Assessment of symptoms and health-related quality of life in non-alcoholic steatohepatitis (NASH). NASH-CHECK V1.0
FINDCAT,NEUROLOGICAL EXAMINATION FIND_CAT,Neurological Examination,,,1,,,Neurological examination
FINDCAT,NEUROPATHY IMPAIRMENT SCORE (NIS) FIND_CAT,Neuropathy Impairment Score (NIS),,,1,,,"Clinical Neuropathy Assessment. Neuropathy Impairment Score (NIS). Dyck et al: Ann Neurol 8:590-596, 1980; Revised, Neurol 41:799-807, 1991 and Neurol 45:1115-1121, 1995"
FINDCAT,NMSS FIND_CAT,Non-Motor Symptom Assessment Scal for PD,,,1,,,Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDCAT,NPI FIND_CAT,NPI,,,1,,,"Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDCAT,NYHA CLASS FIND_CAT,NYHA Class,,,1,,,"NYHA classification"
FINDCAT,OCCUPATION FIND_CAT,Occupation,,,1,,,Occupation
FINDCAT,OCCUPATION AND INCOME GROUP FIND_CAT,OCCUPATION AND INCOME GROUP,,,1,,,"Occupation and Income Group
Questions asked to identify subjects Occupation and Income Group
Can be used in connection with other questionnaires, e.g. WPAI:SHP
"
FINDCAT,OCTANOATE BREATH TEST FIND_CAT,Octanoate Breath Test,,,1503,,,Octanoate Breath Test
FINDCAT,OTHER PK ASSESSMENTS FIND_CAT,Other PK assessments,,,1520,,,Other PK assessments
FINDCAT,PAIN RATING FIND_CAT,Pain Rating,,,1,,,Pain rating questionnaire
FINDCAT,PARENT TREATMENT BURDEN FIND_CAT,Parent Treatment Burden,,,1,,,"Growth Hormone Injection - Parent Treatment Burden Measure (GH-INJ-PTB), Version 1.0, 28Sep2021 (Novo Nordisk)"
FINDCAT,PARKINSON'S DISEASE HOME DIARY FIND_CAT,Parkinson's Disease Home Diary,,,1,,,"Parkinson's Disease Home Diary also known as Hauser Diary. Hauser et al. J Clin Neuropharmacol 2000;23:75?81; 2. Hauser et al, Movement Disorders 2004;19(12):1409?1413."
FINDCAT,PARKINSONS DISEASE FIND_CAT,Parkinson's Disease,,,1,,,"Parkinson's Disease"
FINDCAT,PATHOLOGY FIND_CAT,Pathology,,,1,,,"NCI Thesaurus: The medical science, and specialty practice, concerned with all aspects of disease, but with special reference to the essential nature, causes, and development of abnormal conditions, as well as the structural and functional changes that result from the disease processes. Informally used to mean the result of such an examination."
FINDCAT,PATIENT INTEREST ASSESSMENT FIND_CAT,Patient Interest Assessment,,,1,,,Patient Interest Assessment
FINDCAT,PATIENT REPORTED EXERCISE V1.0 FIND_CAT,Patient Reported Exercise V1.0,,,1,,,Patient Reported Exercise V1.0
FINDCAT,PD AFTER MULTIPLE DOSE FIND_CAT,PD after multiple dose,,,1604,,,PD after multiple dose
FINDCAT,PD AFTER SINGLE DOSE FIND_CAT,PD after single dose,,,1604,,,PD after single dose
FINDCAT,PDQ-39 FIND_CAT,PDQ-39,,,1,,,"Parkinson's Disease Questionnaire (PDQ-39). Peto V, Jenkinson C, Fitzpatrick R et al. The development and validation of a short measure of functioning and well being for individuals with Parkinson's disease. Qual Life Res. 1995; 4: 241?248."
FINDCAT,PDSS-2 FIND_CAT,Parkinson's Disease Sleep Scale (PDSS-2),,,1,,,"Parkinson's Disease Sleep Scale (PDSS-2). The PDSS-2 is a revised version of the Parkinson's Disease Sleep Scale. PDSS-2 ? Ray Chaudhuri, Claudia Trenkwalder 2010. The PDSS-2 allows health and social care professionals and people with Parkinson's to self-rate and quantify the level of sleep disruption being experienced in order to target treatment appropriately."
FINDCAT,PEDHAL CHILDREN'S/TEENAGERS' V0.12 FIND_CAT,PedHAL Children's/teenagers' V0.12,,,1,,,"Pediatric  Hemophilia Activities List Children's/teenagers' version.
An activities questionnaire for children and teenagers aged 8-17 with haemophilia V0.12"
FINDCAT,PEDHAL PARENTS' V0.12 FIND_CAT,PedHAL Parents' V0.12,,,1,,,"Pediatric  Hemophilia Activities List Parents' version.
An activities questionnaire for children and teenagers aged 4-17 with haemophilia V0.12"
FINDCAT,PEDSQL ACUTE V4 ADULT FIND_CAT,PedsQL Acute V4 Adult,,,1,,,PedsQL Acute V4 Adult
FINDCAT,PEDSQL ACUTE V4 CHILDREN PARENT REPORT FIND_CAT,PedsQL Acute V4 Children Parent Report,,,1,,,PedsQL Acute V4 Children Parent Report
FINDCAT,PEDSQL ACUTE V4 TEEN FIND_CAT,PedsQL Acute V4 Teen,,,1,,,PedsQL Acute V4 Teen
FINDCAT,PEDSQL ACUTE V4 YOUNG ADULT FIND_CAT,PedsQL Acute V4 Young Adult,,,1,,,PedsQL Acute V4 Young Adult
FINDCAT,PEDSQL ACUTE V4 YOUNG CHILDREN PARENT REPORT FIND_CAT,PedsQL Acute V4 Young Child Parent Repor,,,1,,,PedsQL Acute V4 Young Children Parent Report
FINDCAT,PET SCAN FIND_CAT,PET scan,,,1000,,,"CDISC code: C17007
CDISC submission value: PET SCAN
CDISC synonym(s): 
CDISC definition: An imaging technique for measuring the gamma radiation produced by collisions of electrons and positrons (anti-electrons) within living tissue. In positron emission tomography (PET), a subject is given a dose of a positron-emitting radionuclide attached to a metabolically active substance. A scanner reveals the tissue location of the metabolically-active substance administered.
NCI preferred term: Positron Emission Tomography"
FINDCAT,PGI FIND_CAT,PGI,,,1,,,Patient Global Impression
FINDCAT,PGIC FIND_CAT,PGIC,,,1,,,"Patient Global Impression of Change (PGIC)."
FINDCAT,PGIC WRSS FIND_CAT,PGIC WRSS,,,1,,,Patient Global Impression of Change (PGIC) used with Weight Related Sign and Symptom measure (WRSS)
FINDCAT,PGIC-IWQOL LITE CT 20 ITEMS FIND_CAT,PGIC for IWQOL LITE CT 20 ITEMS,,,1,,,"Category for Patient Global Impression of Change (PGIC) used with Impact of Weight Quality of Life Lite for Clinical Trials - 20 Item version (IWQOL LITE CT 20 ITEMS)"
FINDCAT,PGIC-WRSS V2.0 FIND_CAT,PGIC for WRSS V2.0,,,1,,,"Category for Patient Global Impression of Change (PGIC) used with Weight Related Sign and Symptom Measure Version 2.0 (WRSS 2.0)"
FINDCAT,PGIC_HEMOPHILIA FIND_CAT,PGIC Hemophilia,,,1,,,Patient?s Global Impression of Change (PGIC) for Hemophilia. Version 1.0 (Novo Nordisk) United States English.
FINDCAT,PGIS FIND_CAT,PGIS,,,1,,,"Patient Global Impression of Severity (PGIS)."
FINDCAT,PGIS-IWQOL LITE CT 20 ITEMS FIND_CAT,PGIS for IWQOL LITE CT 20 ITEMS,,,1,,,"Category for Patient Global Impression of Status (PGIS) used with Impact of Weight Quality of Life Lite for Clinical Trials - 20 Item version (IWQOL LITE CT 20 ITEMS)"
FINDCAT,PGIS-WRSS V2.0 FIND_CAT,PGIS for WRSS V2.0,,,1,,,"Category for Patient Global Impression of Severity (PGIS) used with Weight Related Sign and Symptom Measure Version 2.0 (WRSS 2.0)"
FINDCAT,PHARMACOECONOMIC FIND_CAT,Pharmacoeconomic,,,1608,,,"Pharmacoeconomic"
FINDCAT,PHQ-9 FIND_CAT,PHQ-9,,,1,,,"Patient Health Questionnaire - 9 (PHQ-9) (Kroenke K, Spitzer RL, Williams JBW. The PHQ-9: Validity of a brief depression severity measure. J Gen Intern Med 2001; 16:606-613)."
FINDCAT,PHYSICAL EXAMINATION FIND_CAT,Physical Examination,,,1608,,,"Finding category, Physical examination"
FINDCAT,PK AFTER MULTIPLE DOSE FIND_CAT,PK after multiple dose,,,1611,,,PK after multiple dose
FINDCAT,PK AFTER SINGLE DOSE FIND_CAT,PK after single dose,,,1611,,,PK after single dose
FINDCAT,PK/PD FIND_CAT,PK/PD,,,1611,,,PK/PD
FINDCAT,PLAQUE MORPHOLOGY AND BURDEN FIND_CAT,Plaque Morphology and Burden,,,1,,,Plaque Morphology and Burden.
FINDCAT,PLETHYSMOGRAPHY FIND_CAT,Plethysmography,,,1612,,,"A plethysmograph is an instrument for measuring changes in volume within an organ or whole body (usually resulting from fluctuations in the amount of blood or air it contains)."
FINDCAT,POLYSOMNOGRAPHY FIND_CAT,Polysomnography,,,1615,,,"This is also the name of a CDISC domain.
CDISC code: C49613
CDISC submission value: SL
CDISC synonyms: Sleep polysomnography data
CDISC definition: Findings from diagnostic sleep tests (polysomnography).
NCI preferred term: Sleep Polysomnography Domain
But somni is the latin word for sleep, so to put sleep in front of polysomnography makes no sense."
FINDCAT,PREFERRED TERM PRE-EVALUATION FIND_CAT,PREFERRED TERM PRE-EVALUATION,,,1,,,PREFERRED TERM PRE-EVALUATION FOR ADJUDICATION
FINDCAT,PREGNANCY AND DELIVERY FIND_CAT,Pregnancy and Delivery,,,1616,,,Pregnancy and Delivery
FINDCAT,PREGNANCY SCAN FIND_CAT,Pregnancy Scan,,,1,,,
FINDCAT,PREGNANCY TEST FIND_CAT,Pregnancy Test,,,1616,,,"Finding category, Pregnancy test"
FINDCAT,PRO QUESTIONNAIRES FIND_CAT,PRO questionnaires,,,1616,,,PRO questionnaires
FINDCAT,PROFILES FIND_CAT,Profiles,,,1616,,,Profiles
FINDCAT,PROMIS NUMERIC RATING SCALE V1.0 - PAIN INTENSITY 1A FIND_CAT,PROMIS NRS V1.0 - Pain Intensity 1a,,,1,,,PROMIS Numeric Rating Scale v.1.0 ? Pain Intensity 1a - 5 Oct 2017 ? 2008-2017 PROMIS Health Organization (PHO)
FINDCAT,PROMIS SHORT FORM V1.0 - FATIGUE 7A FIND_CAT,PROMIS SF V1.0 - Fatigue,,,1,,,PROMIS Item Bank - Fatigue - Short Form 7a V1.0
FINDCAT,PROMIS SHORT FORM V1.0 - FATIGUE 8A FIND_CAT,PROMIS SHORT FORM V1.0 - FATIGUE 8A,,,1,,,PROMIS v1.0 ? Fatigue ? Short Form 8a (PROM) - 02 Mar 2017 ? 2008-2017 PROMIS Health Organization and PROMIS Cooperative Group
FINDCAT,PROMIS SHORT FORM V2.0 - UPPER EXTREMITY 7A FIND_CAT,PROMIS SF V2.0 - Upper Extremity 7a,,,1,,,PROMIS v2.0-Upper Extremity-Short Form 7a - 11 Jul 2018  ? 2008-2018 PROMIS Health Organization (PHO)
FINDCAT,PROTECT COGNITIVE TEST FIND_CAT,Protect Cognitive Test,,,1,,,PROTECT Cognitive test
FINDCAT,PSE SYNDROME TEST V2.0 FIND_CAT,PSE Syndrome Test V2.0,,,1,,,"The Portosystemic Encephalopathy Syndrome Test (PSE Syndrome Test) (Hans Schomerus, Karin Weissenborn, Hartmut Hecker, Wolfgang Hamster, Norbert Ruckert. Second revised edition 2013, digital media, Hannover Medical School) V2.0"
FINDCAT,PSQI FIND_CAT,PSQI,,,1,,,"Pittsburgh Sleep Quality Index. Buysse DJ, Reynolds CF, Monk TH, Berman SR, Kupfer DJ: Psychiatry Research, 28:193-213, 1989. Copyright 1989 and 2010, University of Pittsburgh."
FINDCAT,PSYCHIATRIC DISORDER FIND_CAT,Psychiatric disorder,,,1618,,,"Psychiatric disorder"
FINDCAT,PUBERTAL STATUS FIND_CAT,Pubertal Status,,,1690,,,"Pubertal Status"
FINDCAT,PUBERTAL STATUS BOY FIND_CAT,Pubertal Status Boy,,,1,,,Clinical Diagnosis of Pubertal Status Boy
FINDCAT,PUBERTAL STATUS GIRL FIND_CAT,Pubertal Status Girl,,,1,,,Clinical Diagnosis of Pubertal Status Girl
FINDCAT,PULMONARY FUNCTION FIND_CAT,Pulmonary function,,,1621,,,Pulmonary function tests
FINDCAT,PUMP_RELATED_DETAILS_AND_ASSESSMENTS FIND_CAT,Pump related details and assessments,,,160,,,"CDISC code: Sponsor defined
Pump related details and assessments"
FINDCAT,QUALIFICATION CRITERIA FIND_CAT,Qualification Criteria,,,1,,,Qualification Criteria
FINDCAT,RANDOMISATION CRITERIA FIND_CAT,Randomisation criteria,,,1801,,,Randomisation criteria
FINDCAT,RBANS FIND_CAT,RBANS,,,1,,,"Repeatable Battery for the Assessment of Neuropsychological Status (RBANS) update. Copyright 1998, 2012 NCS Pearson, Inc."
FINDCAT,RDRS FIND_CAT,The Rush Dyskinesia Rating Scale,,,1,,,"The Rush Dyskinesia Rating Scale (RDRS), developed by the Movement Disorder Society (MDS), was created to objectively assess severity of overall dyskinesia based on interference in activities of daily living, to distinguish between chorea, dystonia, and other types of dyskinesia observed and to identify the most disabling form of dyskinesia. 
Goetz CG, Stebbins GT, Shale HM, Lang AE, Chernik DA, Chmura TA, Ahlskog JE, Dorflinger EE. Utility of an objective dyskinesia rating scale for Parkinson's disease: inter- and intrarater reliability assessment. Mov Disord. 1994 Jul;9(4):390-4. doi: 10.1002/mds.870090403. PMID: 7969204."
FINDCAT,REGIMEN FIND_CAT,Type of regimen,,,2060,,,"Type of regimen"
FINDCAT,RENIN ANGIOTENSIN SYSTEM INHIBITOR THERAPY FIND_CAT,Renin Angiotensin Sys Inhibitor Therapy,,,1,,,Renin Angiotensin System Inhibitor Therapy
FINDCAT,RESCUE CRITERIA FIND_CAT,Rescue criteria,,,1805,,,Rescue criteria
FINDCAT,RESPIRATION CHAMBER FIND_CAT,Respiration Chamber,,,1805,,,"Respiration Chamber"
FINDCAT,RISK FACTORS FOR BREAST NEOPLASM FIND_CAT,Risk Factors for Breast Neoplasm,,,1,,,Risk factors for Breast Neoplasm
FINDCAT,RISK FACTORS FOR SKIN CANCER FIND_CAT,Risk Factors for Skin Cancer,,,2,,,Risk factors for skin cancer
FINDCAT,ROI FIND_CAT,Regions of interest,,,15,,,"Regions of interest (ROI)"
FINDCAT,RUD BASELINE FIND_CAT,Rud Baseline,,,1,,,"The Resource Utilisation in Dementia Questionnaire Baseline"
FINDCAT,RUD FOLLOW-UP FIND_CAT,Rud Follow-Up,,,1,,,"The Resource Utilisation in Dementia Questionnaire Follow-Up"
FINDCAT,SCINTIGRAPHY FIND_CAT,Scintigraphy,,,1903,,,"Gamma scintigraphy is useful tool in the development and evaluation of pharmaceutical drug delivery systems. The technique provides information on the deposition, dispersion and movement of a formulation and is typically combined with PK assessments to provide information concerning the sites of release and absorption (?pharmacoscintigraphy?). 
[CDISC definition i not used since Scintigraphy is an item of the 'Method' codelist in SDTM. ]"
FINDCAT,SDS_HEMOPHILIA FIND_CAT,SDS Hemophilia,,,1,,,"Sheehan Disability Scale - Hemophilia (Copyright 1983, 2010, 2011 David V. Sheehan. All rights reserved.). Adapted from CDISC version 1.1"
FINDCAT,SELF MEASURED GLUCOSE FIND_CAT,Self Measured Glucose,,,190,,,Self Measured Glucose
FINDCAT,SELF MEASURED PLASMA GLUCOSE FIND_CAT,Self measured plasma glucose,,,1905,,,Self measured plasma glucose
FINDCAT,SF10 V1.0 CHILDREN STANDARD FIND_CAT,SF10 V1.0 Children Standard,,,1,,,"Short Form 10 Health Survey for Children, Standard, Version 1.0 V1.0 CHILDREN STANDARD"
FINDCAT,SF36 V2.0 ACUTE FIND_CAT,SF36 V2.0 Acute,,,1,,,"Short Form 36 Health Survey Acute, US Version 2.0 Questionnaire"
FINDCAT,SF36 V2.0 ACUTE PRO CORE POPULATION BENCHMARK FIND_CAT,SF36 V2.0 Acute PRO CoRE Pop Benchmark,,,1,,,"The Short Form 36 Health Survey Acute, US Version 2.0 (SF36 V2.0 ACUTE) Scoring Software PRO CoRE Population Benchmark (copyright 1992, 1996, 2000 Medical Outcomes Trust and QualityMetric Incorporated. All rights reserved). These materials discuss and/or include one or more of the SF Health Surveys, which are owned exclusively by QualityMetric Incorporated. No part of the SF Health Surveys may be reproduced, distributed, or transmitted in any form or by any means, including photocopying, recording, or other electronic or mechanical methods, without the prior written permission of QualityMetric Incorporated and payment of any applicable fees. Copyright QualityMetric Incorporated. All rights reserved."
FINDCAT,SF36 V2.0 ACUTE PRO-CORE V1 FIND_CAT,SF36 V2.0 Acute PRO-CoRE V1,,,1,,,"SF36 V2.0 Acute PRO-CoRE V1 - Scoring Software"
FINDCAT,SF36 V2.0 STANDARD FIND_CAT,SF36 V2.0 Standard,,,1,,,"Short Form 36 Health Survey Standard, US Version 2.0 Questionnaire"
FINDCAT,SF36 V2.0 STANDARD PRO CORE POPULATION BENCHMARK FIND_CAT,SF36 V2.0 Std PRO CoRE Pop Benchmark,,,1,,,"The Short Form 36 Health Survey Standard, US Version 2.0 (SF36 V2.0 STANDARD) Scoring Software PRO CoRE Population Benchmark (copyright 1992, 1996, 2000 Medical Outcomes Trust and QualityMetric Incorporated. All rights reserved). These materials discuss and/or include one or more of the SF Health Surveys, which are owned exclusively by QualityMetric Incorporated. No part of the SF Health Surveys may be reproduced, distributed, or transmitted in any form or by any means, including photocopying, recording, or other electronic or mechanical methods, without the prior written permission of QualityMetric Incorporated and payment of any applicable fees. Copyright QualityMetric Incorporated. All rights reserved."
FINDCAT,SF36 V2.0 STANDARD PRO-CORE V1 FIND_CAT,SF36 V2.0 Standard PRO-CoRE V1,,,1,,,"SF36 V2.0 Standard PRO-CoRE V1 - Scoring Software"
FINDCAT,SGA-CIM OBSERVER FIND_CAT,SGA-Child Impact Measure Observer,,,1,,,Small for Gestational Age - Child Impact Measure - Observer (SGA-CIM-O). Version 1.0. Novo Nordisk. 28Sep2021.
FINDCAT,SHORT-FORM MPQ-2 FIND_CAT,Short-Form MPQ-2,,,1,,,"Short-Form McGill Pain Questionnaire-2 (SF-MPQ-2). R. Melzack and the Initiative on Methods, Measurement, and Pain Assessment in Clinical Trials (IMMPACT), 2009."
FINDCAT,SICKLE CELL DISEASE FIND_CAT,Sickle Cell Disease,,,1,,,Sickle Cell Disease
FINDCAT,SIT TO STAND FIND_CAT,Sit to Stand,,,1,,,Sit to stand
FINDCAT,SIX MINUTE WALK FIND_CAT,Six Minute Walk,,,1,,,"6 Minute Walk Test (6MWT) (Goldman MD, Marrie RA, Cohen JA. Evaluation of the six-minute walk in multiple sclerosis subjects and healthy controls. Multiple Sclerosis 2008; 14: 383-390)."
FINDCAT,SIX MINUTE WALK TEST FIND_CAT,Six Minute Walk Test,,,1,,,Six Minute Walk Test
FINDCAT,SLEEP FIND_CAT,Sleep,,,1,,,Sleep
FINDCAT,SMOKING HABITS FIND_CAT,Smoking habits,,,1913,,,"Smoking habits"
FINDCAT,SOCIO-DEMOGRAPHIC PARAMETER FIND_CAT,Socio-Demographic Parameter,,,1,,,Socio-Demographic Parameter
FINDCAT,SPECIMEN FIND_CAT,Specimen,,,1916,,,Specimen for laboratory findings
FINDCAT,SPERM ANALYSIS FIND_CAT,Sperm Analysis,,,1,,,"A sperm analysis involves checking a sample of semen for overall sperm health."
FINDCAT,SPFQ V1.0 FIND_CAT,SPFQ V1.0,,,1,,,Study Participant Feedback Questionnaire version 1.0. Prepared by TransCelerate Patient Experience Initiative Team.
FINDCAT,SPIROMETRY FIND_CAT,Spirometry,,,1,,,"Spirometry

A method used to measure the breathing capacity of the lung by means of a spirometer."
FINDCAT,SPORT ACTIVITY FIND_CAT,Sport Activity,,,1,,,Sport Activity
FINDCAT,SPS-6 FIND_CAT,SPS-6,,,1,,,"Stanford presenteeism scale-6"
FINDCAT,SPS-6 TRIGGER QUESTION FIND_CAT,SPS-6 Trigger Question,,,1,,,"A trigger question for the Stanford presenteeism scale-6"
FINDCAT,STEPS FIND_CAT,Steps,,,1,,,Steps
FINDCAT,STROOP COLOR AND WORD TEST ADULT VERSION FIND_CAT,Stroop Color and Word Test Adult Version,,,1,,,"Stroop Color and Word Test.
Golden C. J., Freshwater S. M. (2002). The Stroop Color and Word Test: A Manual for Clinical and Experimental Uses. Chicago, IL: Stoelting. Adult version"
FINDCAT,STUDY MEDICATION FIND_CAT,Study Medication,,,1,,,Sponsor defined: Study Medication
FINDCAT,SWQS FIND_CAT,SWQS,,,1,,,Swallowability Questionnaire (SWQS)
FINDCAT,TANNER SCALE BOY FIND_CAT,Tanner Scale Boy,,,1,,,"Tanner Scale Boy (Marshall WA, Tanner JM. Variations in pattern of pubertal changes in boys. Arch Dis Child 1970 Feb;45(239):13-23)."
FINDCAT,TANNER SCALE GIRL FIND_CAT,Tanner Scale Girl,,,1,,,"Tanner Scale Girl (Marshall WA, Tanner JM. Variations in pattern of pubertal changes in girls. Arch Dis Child 1969 Jun; 44(235): 291-303)."
FINDCAT,TB-CGHD CAREGIVER REPORT FIND_CAT,TB-CGHD Caregiver Report,,,1,,,"Treatment Burden - Child Growth Hormone Deficiency - Observer (TB-CGHD-O), Version 1.0, 01 SEP 2016 (Novo Nordisk)"
